1 2089 1 58 1
2 2230 2 28 12
3 2126 2 57 1
3 2131 1 55 5
3 2084 1 45 6
3 2243 2 52 3
3 2243 2 49 5
3 2292 2 56 4
2 2208 1 48 1
2 2210 1 44 1
3 2095 1 27 2
3 2095 2 29 2
2 2237 2 53 1
2 2351 2 50 1
3 2109 2 57 1
3 2110 2 53 3
2 2189 2 25 5
2 2195 1 54 3
2 2195 2 50 2
3 2113 2 56 2
3 2116 2 51 2
3 2121 1 45 1
3 2238 1 52 2
3 2148 1 53 2
3 2261 2 52 11
3 2273 2 46 4
3 2278 2 49 4
2 2335 1 53 1
3 2098 2 56 1
2 2390 2 55 1
2 2394 2 42 4
2 2394 1 24 1
3 2356 2 50 4
2 2358 1 23 1
2 2344 2 31 3
2 2345 1 38 5
3 2295 2 58 4
3 2179 1 61 1
3 2179 1 59 11
2 2406 2 42 12
2 2371 2 38 1
2 2383 2 29 2
3 2387 1 44 7
2 2138 2 49 5
3 2134 1 39 1
2 2332 2 45 4
2 2414 1 37 10
2 2308 2 45 3
2 2422 1 37 2
2 2472 2 41 1
